execution_scenario,coin,avg_slippage_pct
next_day_vwap_approx,ADA,0.05
next_day_vwap_approx,ALGO,0.06219219761120737
next_day_vwap_approx,DOGE,0.05
next_day_vwap_approx,HBAR,0.053159862221149295
next_day_vwap_approx,MATIC,0.05
next_day_vwap_approx,TRX,0.05
next_day_vwap_approx,VET,0.06503935890262932
next_day_vwap_approx,XLM,0.06098088200098934
next_open,ADA,0.05
next_open,ALGO,0.05457825459247149
next_open,DOGE,0.05
next_open,HBAR,0.05079932716047771
next_open,MATIC,0.05
next_open,TRX,0.05
next_open,VET,0.056318506626454184
next_open,XLM,0.05351124580588298
same_close,ADA,0.05
same_close,ALGO,0.05459996825952982
same_close,DOGE,0.05
same_close,HBAR,0.05080205517650183
same_close,MATIC,0.05
same_close,TRX,0.05
same_close,VET,0.056334804979817965
same_close,XLM,0.053520419503337635
