variant,momentum_mode,regime_filter,rebalance_freq,entry_top,strategy_cagr,strategy_max_drawdown,strategy_sharpe,total_trades,annualized_turnover,total_fees,total_slippage,final_equity,avg_holding_period,avg_positions_held,btc_cagr,btc_max_drawdown,eth_cagr,eth_max_drawdown
abs_btc200_weekly_top10,absolute,btc_200dma,weekly,10,0.14502276310373574,-0.8937884432451212,0.50685267374174,123,261.6069799270073,588.3744798541011,588.3744798541011,15013.523142200367,79.82456140350877,7.417502278942571,0.321376243423513,-0.7662925431645935,1.0934319416341722,-0.7930253453633334
abs_btc200_weekly_top5,absolute,btc_200dma,weekly,5,0.7773383963839811,-0.6621039591089318,0.9201624948145881,88,130.80348996350364,585.9133332612355,585.9133332612355,56167.01293209418,80.58536585365853,5.183226982680036,0.321376243423513,-0.7662925431645935,1.0934319416341722,-0.7930253453633334
abs_btc200_monthly_top10,absolute,btc_200dma,monthly,10,0.509510769067185,-0.8730332169209407,0.7513487592657839,90,61.6526003649635,962.918786977371,962.918786977371,34405.75193731669,114.75,7.675478577939836,0.321376243423513,-0.7662925431645935,1.0934319416341722,-0.7930253453633334
abs_dual_trend_weekly_top10,absolute,dual_trend,weekly,10,0.21440963969265914,-0.8738326429028933,0.5607018984808745,109,261.6069799270073,520.1948345970068,520.1948345970068,17912.382827417554,91.7,7.455788514129444,0.321376243423513,-0.7662925431645935,1.0934319416341722,-0.7930253453633334
abs_btc90d_weekly_top10,absolute,btc_90d_positive,weekly,10,0.10680987205958603,-0.926837648528764,0.4827279304012228,157,261.6069799270073,961.2824474220331,961.2824474220331,13559.673697506467,85.04054054054055,7.87693710118505,0.321376243423513,-0.7662925431645935,1.0934319416341722,-0.7930253453633334
rel_btc200_weekly_top10,relative,btc_200dma,weekly,10,0.1941216954927707,-0.8823010423440693,0.5463642953482395,121,261.6069799270073,604.2755825962469,604.2755825962469,17029.366945092428,81.625,7.443026435733819,0.321376243423513,-0.7662925431645935,1.0934319416341722,-0.7930253453633334
rel_btc200_weekly_top5,relative,btc_200dma,weekly,5,0.5086613401499238,-0.7944245673538435,0.7538344423018878,102,130.80348996350364,696.1383298731007,696.1383298731007,34347.68917178884,75.36170212765957,6.130355515041021,0.321376243423513,-0.7662925431645935,1.0934319416341722,-0.7930253453633334
rel_btc200_monthly_top10,relative,btc_200dma,monthly,10,0.48663888713424974,-0.8732028075977332,0.7371956237686281,92,61.6526003649635,954.4420521517488,954.4420521517488,32865.05281839512,112.6829268292683,7.675478577939836,0.321376243423513,-0.7662925431645935,1.0934319416341722,-0.7930253453633334
rel_dual_trend_weekly_top10,relative,dual_trend,weekly,10,0.12718167582171458,-0.903562977842623,0.5021492277088206,109,261.6069799270073,511.2999811591275,511.2999811591275,14322.451091099663,91.0,7.436645396536007,0.321376243423513,-0.7662925431645935,1.0934319416341722,-0.7930253453633334
rel_btc90d_weekly_top10,relative,btc_90d_positive,weekly,10,0.1913206606479394,-0.911660551226604,0.5460900026069186,157,261.6069799270073,1008.4284326841473,1008.4284326841473,16909.783987547697,85.04054054054055,7.889699179580674,0.321376243423513,-0.7662925431645935,1.0934319416341722,-0.7930253453633334
